VideoName,AvgE,Avgh,epsilon,AvgL,avgU,energyU,avgV,energyV,Train
1,20.2,15.7397751,0.247279435,115.9583333,122.9041667,8.0625,144.45,15.97916667,0
2,126.0541667,21.31622309,17.82399083,107.3416667,129.0833333,12.9625,123.625,10,1
3,133.8041667,25.05631464,0.118871812,138.9916667,127.9958333,11.525,122,6.533333333,1
4,55.69166667,68.50271381,0.056591916,89.34583333,120.6166667,16.32083333,126.825,11.2625,1
5,84.72083333,42.00339372,0.045018262,114.4958333,127,4.9625,127,4.854166667,1
6,91.34166667,14.82494854,0.095472675,120.4625,125,41.09583333,125.9666667,25.14166667,1
7,62.00416667,54.54950335,0.080872054,72.59166667,127.5833333,9.741666667,129.0375,10.01666667,1
8,122.1833333,18.6922841,0.017539651,98.07083333,131,20.7375,123,20.38333333,1
9,21.84166667,3.75282623,7.192245521,93.025,125,14.00416667,129,8.904166667,0
10,1,0.618098812,0.150732671,108.9833333,132.925,1.995833333,112.4958333,3,0
11,79.20833333,35.9133251,0.053182459,107.3541667,127.9666667,7.825,127.6083333,7.0875,1
12,134.7208333,21.67115774,0.059335188,52.975,129,32.37083333,125.3708333,17.77916667,1
13,31.39583333,20.23048954,0.038458448,57.74166667,125,10.99583333,129,4.933333333,0
14,67.15,37.32000167,0.032250839,126.2208333,123.6166667,6.3875,125.5958333,4.229166667,1
15,76.55416667,24.16482624,59.18801244,111,125.25,14.59166667,130,15.95416667,1
16,89.5875,26.37632682,0.720432497,122.4458333,122.3958333,12.36666667,130.3541667,7.708333333,1
17,47.49583333,65.42481297,0.131899264,115.5916667,125.7166667,4.2,128.2708333,4.475,1
18,24.775,10.08500867,446.6886076,100.7208333,106.5166667,19.45,141.0625,17.05416667,1
19,73.575,111.5706469,0.050756662,138.9625,125.8875,4.675,127.2458333,3.5125,1
20,81.09583333,9.813032929,0.227494387,115.8958333,123,14.9875,128.4708333,11.1125,1
21,81.30416667,4.868644724,7.757536501,124,123,14.68333333,130,12.95416667,1
22,96.725,18.30259385,0.195717739,111.5416667,131,6.920833333,123.2041667,9.95,1
23,25.975,28.37055664,22.10663576,91.225,126.0208333,10.30833333,130.5916667,11.94583333,0
24,142.775,5.431836883,3.937189734,95.8875,133.15,25.79166667,120.0416667,28.87083333,1
25,173.5833333,151.8415146,0.02062304,115.9541667,126.9875,14.24583333,124.3958333,9.104166667,1
26,117.3458333,57.61544603,0.093647696,126.1875,119.9208333,14.975,131.1416667,13.00416667,1
27,98.77083333,10.46117305,0.248197509,125.9583333,137,9,117,9.7125,1
28,70.05416667,45.28567269,26.57409727,125.3083333,134.6958333,9.741666667,121.7083333,8.470833333,1
29,101.3291667,117.4854753,0.052983268,124.6375,118.3625,16.2125,124.7166667,8.495833333,1
30,76.975,54.48525146,0.050929251,112.5791667,125.7291667,5.829166667,129.7541667,6.4875,1
31,95.30416667,67.24199502,1.231414572,114.8666667,127.075,12.07916667,125.6458333,6.291666667,1
32,12.35833333,2.332619234,2.559310434,97.44583333,125.1333333,5.633333333,139.5916667,10.9625,0
33,39.36666667,43.50116318,0.128220748,106.225,126.6041667,11.40416667,128,9.558333333,1
34,116.5291667,70.72085607,0.060265059,128.2041667,125.4416667,9.370833333,128.3,8.8125,1
35,12.175,3.855789205,8.334020197,147.6666667,136.8125,8.383333333,115.5583333,18.24166667,1
36,86.4375,41.47648205,0.149091857,129.1875,128,6.945833333,126.2458333,6.558333333,1
37,89.19583333,90.66858787,0.043521529,120.6708333,126.025,7.029166667,127,5.779166667,1
38,135.7916667,44.11455816,0.106850889,104.9083333,127.0875,15.2625,125.7708333,8.504166667,1
39,26.1375,21.31842218,0.174381565,136.1375,134.15,8.625,117.8833333,3.895833333,1
40,39.26666667,8.163552929,0.332485648,102.4375,121.0458333,8.645833333,130.9583333,7.333333333,0
41,42.1,23.47407238,0.131760299,104.7916667,120.3291667,28.75833333,124.0041667,17.55833333,1
42,23.32916667,59.61660962,0.046671009,87.88333333,125.1833333,9.429166667,128.8875,10.04583333,0
43,28.90833333,17.71455448,0.441923256,60.37916667,126.0666667,5.208333333,131.1583333,8.2875,0
44,12.2875,25.87662405,0.96842514,162.3125,125.2875,14.97916667,122.5208333,22.59166667,1
45,22.27916667,28.19058402,0.591269791,59.74166667,125.25,8.145833333,130.4333333,9.8625,0
46,82.45,60.83230109,0.175377267,115.375,123.6458333,7.970833333,130.4708333,9.058333333,1
47,107.4458333,87.5534205,0.053171887,122.6083333,131.2833333,12.06666667,124.2375,13.44166667,1
48,56.7125,17.54298339,58.75545677,134.1208333,127.8708333,4.929166667,130.2625,6.15,1
49,29.50416667,16.80102762,0.399782227,137.4041667,129.3416667,4.904166667,124.6375,5.304166667,1
50,158.1583333,37.07305816,0.072639434,120.7041667,126.3083333,8.608333333,126.7916667,7.85,1
51,56.22916667,52.11322134,0.042420328,99.3,123.6583333,10.10416667,129.55,7.883333333,1
52,31.175,9.858999623,0.02008932,95.62916667,133,7.704166667,122,6.516666667,0
53,37.025,30.57146556,0.126540727,113.9833333,122.0041667,16.12083333,130.1666667,15.04166667,1
54,174.3416667,34.95617364,0.203872752,68.2375,129,30.6625,123,16.96666667,1
55,22.7375,35.18429749,0.032786943,102.4958333,124.4416667,6.229166667,129.0041667,5.716666667,0
56,41.02083333,45.09696569,0.047213118,99.91666667,122.9833333,9.458333333,130.8875,8.854166667,1
57,108.5416667,112.8724184,0.047685277,127.6666667,123.35,11.66666667,127.3291667,6.233333333,1
58,43.25416667,44.68112268,0.525827491,96.92916667,125.025,9.608333333,129.1833333,11.60833333,1
59,10.64166667,2.144453287,13.23591087,61.09166667,121,7.954166667,131.125,6.620833333,0
60,27.7875,9.719866485,0.718759739,111.1666667,122.3916667,13.73333333,132.4416667,8.291666667,0
61,46.35833333,54.16917782,0.036433023,122.6875,124.8916667,8.291666667,129.5291667,12.57083333,1
62,50.82083333,8.200932845,0.172982908,126.9958333,123,10,127,6.641666667,1
63,111.7541667,49.91234477,0.049696698,122.3125,126.5875,8.358333333,126.7125,9.291666667,1
64,10.30416667,3.121631126,36.47676799,166.95,126.8,3.05,129.1333333,8.695833333,1
65,41.6125,9.296921925,0.022274372,90.10416667,122,8.775,131,10.25,0
66,34.7125,3.494699749,1.890624755,53.62083333,127,19.34166667,128.2666667,23.975,0
67,22.66666667,26.10923881,4.490409913,86.56666667,125.5958333,8.65,129.475,15.14166667,0
68,13.00416667,5.124367029,0.5657441,122.6125,124.7791667,1.883333333,129.3166667,5.016666667,0
69,41.83333333,19.93193209,1.68524391,72.14583333,124.2166667,35.2375,131.1166667,37.28333333,0
70,80.89583333,92.18572971,0.041912642,121.8708333,127.4833333,7.6875,128.5541667,8.033333333,1
71,57.23333333,39.93538703,0.122031899,116.9333333,119.8291667,21.92083333,131.6291667,16.2,1
72,73.07083333,61.2079069,0.122197423,122.8458333,128.975,6.679166667,120.1541667,9.716666667,1
73,126.6791667,24.39083975,0.125142082,101.8875,128.8958333,55.24166667,123.7875,39.28333333,1
74,66.99166667,13.67754638,7.171126971,63.3625,127.7375,20.59166667,129.075,30.66666667,0
75,170.1708333,18.98531046,0.087729776,101.5875,126,48.225,122,45.125,1
76,43.4875,21.69925941,0.154276512,122.9208333,125.8416667,6.770833333,127.7333333,4.641666667,1
77,67.65,29.91390084,0.054202779,95.725,123.7291667,20.24166667,133.9041667,33.34583333,1
78,82.95833333,15.42428136,20.1705053,108.1291667,124.8583333,15.29583333,130.0708333,14.61666667,1
79,87.8,8.550291715,0.517488414,120.5125,111.1291667,36.2625,125,31.05,1
80,29.85833333,13.80028921,0.46166849,79.37083333,130.0708333,18.93333333,126.5666667,14.65,0
81,3.220833333,2.27997163,18.20994863,50.02083333,126.0958333,4.025,130.45,6.045833333,0
82,82.9,119.952715,0.457185429,120.85,127.9,6.183333333,126.4375,5.983333333,1
83,49.22083333,33.14616414,0.155440234,79.59583333,121.6625,24.54166667,130.5,7.3625,0
84,156.5708333,55.06255929,0.07464296,116.7916667,125,12.2375,126,7.6,1
85,59.5375,37.31335565,0.202002819,120.0666667,125.9541667,5.345833333,128.5708333,7.070833333,1
86,76.375,58.74388201,0.0637642,74.06666667,126.4458333,11.29583333,130.2125,14.72083333,1
87,99.41666667,22.60925774,0.105582798,115.3291667,138,3.795833333,117.7833333,3.720833333,1
88,20.4625,17.75854356,38.13662514,71.85833333,120.7208333,12.6,127.6458333,6.633333333,0
89,8.8625,3.531557293,0.111268058,119.7125,123,5.783333333,127.0958333,3.9625,0
90,22.16666667,15.6522523,0.055129088,106.5333333,126.2041667,4.2375,126.2833333,9.191666667,0
91,42.26666667,30.51630962,0.066022593,108.5,109.9958333,13.25416667,122.5625,9.016666667,1
92,63.36666667,63.32358832,0.337648998,131.4083333,127.475,7.7875,126,6.016666667,1
93,76.6,89.33484686,0.31613346,111.0791667,131.1958333,13.85833333,127.5291667,16.94583333,1
94,148.6708333,13.99984013,8.116731429,100.0083333,160,79.05833333,103.5166667,61.84583333,1
95,45.78333333,29.8319628,0.332498013,91.75416667,125.5125,7.875,124.125,6.066666667,1
96,57.10833333,65.9645569,0.037759763,108.1791667,124.4458333,11.57916667,129.4166667,10.05,1
97,79.42916667,28.91064962,0.124400391,117.6375,126.5875,7.029166667,127,8.241666667,1
98,37.39583333,96.16683933,0.017620561,109.3541667,120.9375,10.925,132.6083333,10.74583333,1
99,58.47083333,18.15919372,6.473056794,84.54583333,133.775,25.84583333,121.1166667,44.96666667,1
100,10.10833333,2.573357155,2.197910177,121.2541667,126.8708333,5.779166667,124.0833333,7.5625,0
101,70.3875,55.8874954,0.070976172,119.6958333,128.3416667,8.616666667,123.9083333,7.6875,1
102,53.99166667,18.57600741,0.269442852,104.9458333,111.475,25.38333333,132.1333333,21.93333333,1
103,90.4625,77.17168883,0.368254197,114.0958333,124.2416667,9.120833333,127.6458333,9.8,1
104,23.0375,20.92588739,109.1991466,135.7416667,113.4625,22.88333333,129.4666667,9.383333333,1
105,76.4375,24.58432531,0.128449333,116.6541667,130.6458333,13.0375,124.8166667,9.608333333,1
106,8.629166667,3.499362628,0.570924471,92.5625,134.8,8.929166667,122.275,10.89166667,0
107,138.4666667,30.45809623,0.107900236,117.0208333,130,13.48333333,126,12.75833333,1
108,216.7708333,21.48250669,0.069479216,110.3583333,128.9916667,36.24583333,125,29.10416667,1
109,41.825,25.00683563,9.023769601,142.6458333,124.65,9.9,127.9708333,15.96666667,1
110,23.65416667,43.52190192,0.110630465,125.0041667,128.1916667,3.995833333,125.0666667,4.104166667,1
111,41.10833333,51.10986276,0.055242696,106.6583333,120.875,12.76666667,141.8125,20.19166667,1
112,111.9708333,50.61341548,0.03178012,116.9041667,125.0166667,13.87916667,127,7.291666667,1
113,85.87083333,25.78172385,0.084728814,122.9041667,128.8208333,6.954166667,125,7.395833333,1
114,37.01666667,12.33681163,0.241123444,134.6125,130.3291667,15.23333333,119.4916667,23.57916667,1
115,65.225,62.87862845,0.037022727,117.15,130.3666667,3.970833333,122.1708333,5.141666667,1
116,10.39583333,3.622135527,0.449739748,95.7375,122.4083333,2.1875,126.8,3.395833333,0
117,215.3958333,22.21417071,0.192156003,116.6,125.9916667,57.6625,124.8,47.1125,1
118,119.1416667,62.94184059,0.548674185,121.1833333,129.05,6.958333333,125,6.770833333,1
119,79.45,87.62503222,0.037081964,119.4166667,126.9375,10.54166667,125.4958333,8.204166667,1
120,41.05833333,14.54997699,0.316995827,98.38333333,122.2583333,11.4,130.8875,7.658333333,0
121,18.9625,9.982037992,0.324396129,94.42083333,139.8041667,10.5875,110.65,14.02083333,0
122,9.370833333,6.211270997,26.67867566,135.1166667,123.6375,22.44583333,91.97916667,19.15,0
123,33.16666667,17.65566109,0.057684369,133.425,127,2,127,2,1
124,12.125,18.9919278,0.033325401,131.2416667,125.6416667,9.6625,129.4583333,10.19166667,0
125,26.10416667,21.06443188,0.057267658,123.0583333,130.4791667,6.591666667,118.6666667,8.316666667,1
126,46.77083333,39.19701925,0.102480736,116.5791667,128.4333333,6.1,127.6208333,8.408333333,1
127,47.7125,38.41665836,1.246029324,118.8,128.0833333,7.795833333,127.6458333,9.633333333,1
128,96.6375,49.2721141,0.126524928,126.2,124.625,7.870833333,129.2791667,7.0625,1
129,74.7875,57.74133556,0.029019732,119.5,125.55,5.8375,127.7333333,4.858333333,1
130,25.07916667,36.60876674,0.047318778,70.75416667,123.3666667,22.77083333,130.7333333,33.08333333,0
131,14.925,22.73509042,0.275987115,58.99583333,124.6583333,4.141666667,132.2833333,8.341666667,0
132,88.2375,24.64501904,0.099574991,109.7583333,127,6.933333333,126.475,4.945833333,1
133,109.7083333,46.75485481,0.190929357,105.2375,123.0958333,26.64166667,131,25.6875,1
134,30.3,51.54076485,0.04231048,76.525,121.5625,13.825,132.8791667,9.525,0
135,109.9125,29.79098766,0.039297641,119.3916667,127.4625,12.1125,126.3791667,12.52083333,1
136,30.67083333,44.73800126,0.085626119,103.0916667,131.4541667,13.15,135.6208333,8.254166667,1
137,9.9375,3.342979828,0.050050773,93.3,126.8625,1.845833333,126.0875,2.35,0
138,34.63333333,22.08720234,0.090950249,119.425,124.1916667,8.266666667,128.0625,5.470833333,1
139,97.6625,45.29769577,0.057189919,130.3875,126.4083333,10.15,127.4958333,4.916666667,1
140,108.4666667,12.72939837,0.249949911,114.1208333,125,15.7875,128,7.641666667,1
141,103.5458333,93.23554435,0.032960286,97.85,123.4916667,12.50833333,130.8125,11.9625,1
142,42.91666667,45.30187197,0.05667219,117.725,124.7083333,6.9375,129.0958333,7.604166667,1
143,109.9458333,165.8492791,0.081594337,104.9541667,124.1375,10.70833333,127.1458333,5.020833333,1
144,41.7875,5.644464904,1.26971448,114,128,10.80416667,132,7.108333333,1
145,151.6125,15.56772079,0.209807671,109.6041667,123.9416667,20.81666667,124.2375,18.37083333,1
146,45.22916667,30.39628661,0.119664836,119.3833333,129,2.975,125.5083333,2.470833333,1
147,99.07083333,70.40268619,0.043701435,119.1291667,126.7958333,5.4375,127.6958333,7.633333333,1
148,24.60416667,40.32382869,12.08450907,61.00416667,129.1833333,13.53333333,127.5583333,8.6,0
149,16.1875,2.451921117,2.553678845,100.8083333,125.9791667,5.8125,134.525,10.07916667,0
150,29.07083333,13.43259201,0.107521309,96.36666667,130.4125,6.045833333,124.2791667,6,0
151,49.25833333,13.89951089,12.53365451,119.6958333,124.0166667,7.025,129,6.4,1
152,7.4125,10.79079405,0.951660264,143.5583333,123.2708333,1.258333333,129.9291667,1.229166667,1
153,50.83333333,9.802931172,0.140640322,93.54583333,131,20.3375,125,10.3125,0
154,10.10833333,25.49525565,0.101554102,62.58333333,130.0666667,9.670833333,126.3458333,20.11666667,0
155,245.3833333,37.22053054,0.152475671,125.65,109.0791667,36.37916667,136.8333333,36.72083333,1
156,35.7375,20.63844356,0.43108536,109.5208333,124.9625,9.845833333,129.825,10.0125,1
157,69.31666667,122.3666778,0.018736053,112.2958333,124.8,9.5875,128.9125,8.108333333,1
158,47.2625,8.522363586,7.924171875,87.02083333,121.875,17.76666667,126.175,12.14583333,0
159,16.72916667,15.43329536,3.695304517,89.55833333,131.6458333,6.095833333,121.9875,9.7875,0
160,62.05,11.37162747,37.97183727,121,124.7958333,11.5625,128.6625,9.8875,1
161,54.46666667,47.73638619,0.026954207,113.9791667,122.1958333,14.27083333,129.7416667,9.941666667,1
162,81.725,39.63161213,0.06725485,119.4125,131.3041667,6.929166667,124.5791667,6.383333333,1
163,128.9666667,42.36150335,0.049687483,117.35,127.9958333,9.9375,126.9416667,10.95416667,1
164,60.67083333,44.8663431,0.042837161,101.8791667,124.6583333,10.14583333,128.7333333,7.929166667,1
165,15.88333333,8.41897364,0.06422277,109.3458333,138.4125,5.2875,124.0791667,12.9375,0
166,13.1625,16.23254126,0.307312266,65.0625,126.3208333,6.666666667,131.5041667,15.42916667,0
167,90.30833333,35.45496736,0.059224775,122.5916667,126.9666667,5.1125,127.8583333,4.6625,1
168,38.575,13.31427029,0.047980609,70.1125,121.9958333,11.34583333,130.7125,5.308333333,0
169,10.25,11.17943231,6.772219104,85.05,134.4625,3.191666667,123.1416667,3.295833333,0
170,36.62916667,6.629691925,0.060158158,88.05833333,127,6.475,130,3.975,0
171,24.45833333,24.32126611,0.119923545,116.2041667,131.8958333,7.6,111.6958333,18.4875,0
172,11.59166667,22.53492916,0.087479205,143.2791667,107.5083333,8.254166667,135.0666667,3.416666667,1
173,66.81666667,44.11292929,0.059702199,88.1125,134.8333333,28.3375,129,9.304166667,1
174,16.37916667,5.675979497,17.70626259,137.7166667,109.4125,31.72916667,91.8625,27.14583333,1
175,61.4375,45.38126276,0.0382868,111.2083333,122.2541667,16.9875,129.4625,11.78333333,1
176,100.7041667,67.82588243,0.036327618,116.7583333,120.6125,13.49583333,131.9916667,13.04583333,1
177,71.25833333,11.06762873,29.10329142,119.4083333,125,12.55,129,11.88333333,1
178,65.1,65.38154519,0.091769106,120.5208333,127.7541667,2.179166667,127.0166667,1.991666667,1
179,26.99166667,12.69193025,0.512891638,68.90833333,124.0125,7.175,134.3458333,7.766666667,0
180,43.2,75.32011895,0.951672936,125.1791667,130.9208333,2.633333333,124.3541667,2.116666667,1
181,45.90416667,43.00562218,0.047251911,96.34166667,118.6833333,10.0625,124.6625,8.854166667,1
182,51.89166667,26.91392314,0.437546814,138.0375,133.675,5.629166667,125.1875,4.575,1
183,80.80416667,51.53229121,0.048281799,115.9041667,126.2333333,9.1125,126.225,5.9,1
184,117.8583333,24.16950595,16.92194162,97.93333333,124.875,24.46666667,128.5375,21.55,1
185,67.22916667,19.68476188,0.139217428,128.9,121.9125,4.958333333,126.7291667,4.029166667,1
186,30.97083333,12.94671021,4.109946639,130.0916667,119.4125,14.95416667,128.5833333,9.616666667,1
187,104.6125,56.59707456,0.073976659,112.6083333,127.9375,13.1875,126.6208333,9.091666667,1
188,11.17083333,15.19601544,9.408638408,81.54166667,130.1333333,3.170833333,125.4666667,5.033333333,0
189,118.1458333,15.91442429,42.45600853,122.7958333,129.0125,20.97916667,127,25.02916667,1
190,26.80833333,13.44563925,0.229180047,62.625,124.8833333,9.566666667,130.7083333,8.1375,0
191,54.04166667,36.02534268,0.080336345,121.8375,125,8.2625,128,6.545833333,1
192,98.57083333,59.8246759,31.28223921,115.95,131,16.56666667,127.3583333,18.97916667,1
193,223.7958333,18.43875393,0.354727691,125.2791667,130,25.8625,124,19.47083333,1
194,42.20833333,16.97739887,0.291418894,115.7833333,125.3291667,12.32083333,122.9875,7.079166667,1
195,58.49583333,35.24794519,0.113012815,123.8416667,127,6.566666667,126.4541667,5.329166667,1
196,158.7083333,20.92050605,1.019008892,123.3208333,123.6,10.48333333,123,5.079166667,1
197,13.95,9.345114809,27.17896208,91.79166667,130.9416667,9.275,107.4958333,16.29166667,0
198,52.725,68.69319079,0.078368773,121.9958333,126.3208333,3.3125,127.1625,2.675,1
199,65.68333333,17.98971289,0.118713261,128.2833333,129.8583333,6.829166667,123.2833333,7.595833333,1
200,109.7625,94.92990711,0.03214053,114.5666667,123.575,12.9,127.9958333,9.4375,1
201,12.24166667,4.484049079,0.317510304,96.37083333,117.6041667,10.28333333,124.9791667,8.216666667,0
202,99.58333333,58.11371088,0.361793025,108.0083333,124.6583333,13.75416667,129.9333333,21.99166667,1
203,149.6333333,20.3357251,0.16907712,95.2375,122.8375,14.05416667,131.0791667,14.05833333,1
204,8.591666667,6.24609501,10.08512573,120.7166667,92.34583333,11.37083333,148.275,10.51666667,0
205,103.7708333,28.16369612,18.54539626,111.1666667,125.9291667,11.35,128,6.8375,1
206,124.0708333,18.10836653,0.140762997,132.7625,120.8041667,37.12916667,134.225,29.50416667,1
207,97.09166667,42.14776092,0.577748157,122.7583333,123.2083333,11.9125,129.7208333,8.604166667,1
208,54.93333333,23.30258577,0.0838009,113.0458333,123.0791667,15.34583333,133.7666667,18.44583333,1
209,148.2416667,87.7723251,0.040585036,122.1416667,124.4416667,28.80833333,126.5541667,6.375,1
210,23.60833333,15.1310252,0.235124883,146.3583333,129.0291667,3.395833333,123.8166667,2.883333333,1
211,26.19583333,8.005361841,0.104823757,108.3583333,133.875,10.32083333,136.4291667,22.8125,0
212,97.74583333,68.62456105,0.935684095,107.775,128.9125,10.90833333,124.9125,10.52916667,1
213,47.53333333,59.71180661,0.171315733,127.5791667,126.1708333,5.170833333,128,6.1375,1
214,82.7375,29.87717615,0.185366312,79.31666667,126.4416667,9.604166667,130.425,14.37916667,1
215,100.5666667,13.57266649,12.36110047,115.6166667,126,10.6125,125.9125,6.391666667,1
216,41.80416667,28.27664435,0.155849328,112.2541667,123.7333333,10.36666667,130.8291667,10.95833333,1
217,94,52.41339372,0.052820962,124.3875,125.0916667,10.27916667,127.8416667,8.891666667,1
218,35.10416667,30.07874833,0.056790175,149.6291667,123.1833333,14.97083333,134.8166667,28.875,1
219,42.14166667,29.90597551,0.91876481,115.7541667,124.5875,10.325,131.3625,9.825,1
220,15.05416667,5.330588661,0.124519811,101.8916667,145.175,12.87083333,106.2125,16.47083333,0
221,59.25833333,2.312565665,4.375294868,94.12083333,127,21.55,128,17.26666667,1
222,84.50833333,48.54308745,0.036513826,96.80833333,125,18.32916667,128,19.15416667,1
223,52.38333333,84.05212469,0.169932134,119.9375,121.1166667,14.7,128.9791667,13.58333333,1
224,252.3666667,26.75287824,0.095453378,115.3916667,126,38.325,126,40.42916667,1
225,64.17916667,26.25700711,0.066772165,101.6791667,128.0875,11.55833333,128.0625,8.8625,1
226,26.2125,8.625223096,0.16748066,85.31666667,121.7875,6.870833333,130.2125,5.5,0
227,48.09166667,32.34976946,0.028844765,131.2208333,128.5625,3.154166667,125.0208333,3.1125,1
228,97.25833333,41.59185795,0.499960941,116.3333333,124.9375,10.90416667,128.2708333,7.504166667,1
229,37.825,53.46126459,13.44170339,124.675,130.3458333,4.125,124.9208333,6.554166667,1
230,48.25833333,10.060099,0.172317953,102.7,125.3708333,12.0375,128.0666667,10.04166667,1
231,73.44583333,6.341864992,0.228745692,106.0041667,125,17.21666667,132,33.23333333,1
232,42.4625,6.932578962,0.359255806,74.37083333,124,11.71666667,129.3,8.929166667,0
233,38.69583333,61.55569163,0.17950508,124.5166667,127.4291667,2.8875,126.9125,2.254166667,1
234,120.5625,98.97497406,0.042418199,117.1875,127.3791667,10.39166667,128.2708333,10.78333333,1
235,27.25833333,35.47224054,0.247045248,92.14583333,117.1083333,15.24583333,134.2,30.35416667,0
236,118.1791667,17.30021121,0.214109856,115.1416667,126.4125,13.55,127.5416667,14,1
237,106.4416667,7.122372594,0.188115802,106.7,129.3791667,22.10416667,127,24.00833333,1
238,100.5666667,62.9288636,0.063135964,119.8625,123.5791667,7.6625,129.5083333,10.30416667,1
239,115.3791667,92.49381967,0.029654228,114.9333333,124.6625,14.79166667,127.9958333,11.29166667,1
240,77.525,8.738122552,0.127228938,65.075,125.0041667,27.12083333,130.9916667,28.67083333,0
241,16.50833333,7.447122301,0.101136367,111.5041667,139.0916667,7.816666667,119.9125,6.325,0
242,74.77083333,9.454177494,8.533387553,81.40416667,124,21.36666667,128,19.07916667,1
243,33.875,12.24990281,30.80472351,101.175,132.6958333,24.02916667,116.5958333,19.72083333,0
244,56.32083333,32.25373427,27.79041189,98,128,2.008333333,125,3.9875,1
245,20.8,10.35815762,0.378067456,115.425,130.625,5.995833333,124.1166667,4.0875,0
246,20.57916667,10.87816921,0.037183142,59.42916667,127.725,0,127,0,0
247,133.1583333,20.71760176,0.26071515,109.2375,126.4416667,39.79166667,125.5166667,28.17083333,1
248,14.0875,10.38959577,1.486146992,140.25,114.8791667,12.59166667,132.625,7.466666667,1
249,19.25833333,16.25934577,0.154573091,115.8791667,124.2833333,7.1625,128.35,4.833333333,0
250,65.89166667,16.57185481,9.905572335,105.3916667,136.2416667,30.025,130.1083333,36.95416667,1
251,56.53333333,7.292723079,1.979323424,80.99583333,127.9833333,8.520833333,127.1291667,9.529166667,0
