VideoName,E_Y,h,L_Y,L_U,E_U,L_V,E_V,targetBitrate,timeLimitEnc,timeLimitDec,resolution,qp
1,20.2,15.7397751,115.9583333,122.9041667,144.45,8.0625,15.97916667,145,9999.0,9999.0,360,42
9,21.84166667,3.75282623,93.025,125.0,129.0,14.00416667,8.904166667,145,9999.0,9999.0,540,47
10,1.0,0.618098812,108.9833333,132.925,112.4958333,1.995833333,3.0,145,9999.0,9999.0,360,39
13,31.39583333,20.23048954,57.74166667,125.0,129.0,10.99583333,4.933333333,145,9999.0,9999.0,360,42
23,25.975,28.37055664,91.225,126.0208333,130.5916667,10.30833333,11.94583333,145,9999.0,9999.0,720,50
32,12.35833333,2.332619234,97.44583333,125.1333333,139.5916667,5.633333333,10.9625,145,9999.0,9999.0,1080,49
40,39.26666667,8.163552929,102.4375,121.0458333,130.9583333,8.645833333,7.333333333,145,9999.0,9999.0,540,45
42,23.32916667,59.61660962,87.88333333,125.1833333,128.8875,9.429166667,10.04583333,145,9999.0,9999.0,540,48
43,28.90833333,17.71455448,60.37916667,126.0666667,131.1583333,5.208333333,8.2875,145,9999.0,9999.0,540,48
45,22.27916667,28.19058402,59.74166667,125.25,130.4333333,8.145833333,9.8625,145,9999.0,9999.0,540,48
52,31.175,9.858999623,95.62916667,133.0,122.0,7.704166667,6.516666667,145,9999.0,9999.0,540,44
55,22.7375,35.18429749,102.4958333,124.4416667,129.0041667,6.229166667,5.716666667,145,9999.0,9999.0,540,47
59,10.64166667,2.144453287,61.09166667,121.0,131.125,7.954166667,6.620833333,145,9999.0,9999.0,720,45
60,27.7875,9.719866485,111.1666667,122.3916667,132.4416667,13.73333333,8.291666667,145,9999.0,9999.0,540,48
65,41.6125,9.296921925,90.10416667,122.0,131.0,8.775,10.25,145,9999.0,9999.0,540,48
66,34.7125,3.494699749,53.62083333,127.0,128.2666667,19.34166667,23.975,145,9999.0,9999.0,540,47
67,22.66666667,26.10923881,86.56666667,125.5958333,129.475,8.65,15.14166667,145,9999.0,9999.0,540,48
68,13.00416667,5.124367029,122.6125,124.7791667,129.3166667,1.883333333,5.016666667,145,9999.0,9999.0,360,41
69,41.83333333,19.93193209,72.14583333,124.2166667,131.1166667,35.2375,37.28333333,145,9999.0,9999.0,360,44
74,66.99166667,13.67754638,63.3625,127.7375,129.075,20.59166667,30.66666667,145,9999.0,9999.0,1080,50
74,66.99166667,13.67754638,63.3625,127.7375,129.075,20.59166667,30.66666667,300,9999.0,9999.0,1080,50
80,29.85833333,13.80028921,79.37083333,130.0708333,126.5666667,18.93333333,14.65,145,9999.0,9999.0,540,46
81,3.220833333,2.27997163,50.02083333,126.0958333,130.45,4.025,6.045833333,145,9999.0,9999.0,360,40
83,49.22083333,33.14616414,79.59583333,121.6625,130.5,24.54166667,7.3625,145,9999.0,9999.0,1080,50
83,49.22083333,33.14616414,79.59583333,121.6625,130.5,24.54166667,7.3625,300,9999.0,9999.0,1080,50
88,20.4625,17.75854356,71.85833333,120.7208333,127.6458333,12.6,6.633333333,145,9999.0,9999.0,360,43
89,8.8625,3.531557293,119.7125,123.0,127.0958333,5.783333333,3.9625,145,9999.0,9999.0,360,39
90,22.16666667,15.6522523,106.5333333,126.2041667,126.2833333,4.2375,9.191666667,145,9999.0,9999.0,720,50
100,10.10833333,2.573357155,121.2541667,126.8708333,124.0833333,5.779166667,7.5625,145,9999.0,9999.0,1080,50
106,8.629166667,3.499362628,92.5625,134.8,122.275,8.929166667,10.89166667,145,9999.0,9999.0,540,40
106,8.629166667,3.499362628,92.5625,134.8,122.275,8.929166667,10.89166667,300,9999.0,9999.0,1080,44
116,10.39583333,3.622135527,95.7375,122.4083333,126.8,2.1875,3.395833333,145,9999.0,9999.0,360,38
120,41.05833333,14.54997699,98.38333333,122.2583333,130.8875,11.4,7.658333333,145,9999.0,9999.0,720,50
121,18.9625,9.982037992,94.42083333,139.8041667,110.65,10.5875,14.02083333,145,9999.0,9999.0,540,44
